INFO: setting up PCIe 0
INFO: loading mbench.bin...
INFO: done
453	1771	174023	65527	486232	112725	1130997	225261	515204	50469
322	731	71971	27047	207950	50039	773583	144497	473590	50338
284	558	54968	20646	160118	39190	710397	128404	469151	50300
152	208	20536	7696	61939	15808	571965	86806	466585	50168
105	131	12942	4847	39863	10197	538697	74709	468793	50121
33	35	3462	1295	11668	2853	494168	57429	472985	50049
27	29	2867	1073	9462	2355	490827	56103	473563	50043
14	14	1385	518	4776	1162	483010	53116	474163	50030
4	4	395	148	1390	332	477308	50906	474707	50020
4	4	395	148	1343	332	477180	50906	474631	50020
2	2	197	74	694	166	476080	50464	474755	50018
2	2	197	74	694	166	476227	50464	474902	50018
